text,true,pred,text_len_words
SKS Microfinance seen struggling short-term; stock up 9%,positive,negative,8
"Pre-market: Nifty seen opening lower; TCS, RIL eyed",neutral,negative,8
"IOC, BPCL may still offer value for long term investors: Mayuresh Joshi of Angel Broking",neutral,positive,15
Investors dump higher oil bets as prices fall: IntercontinentalExchange,neutral,negative,9
F&O: Nifty may face resistance at 5370-5400,neutral,negative,7
Crompton Greaves slips over 5% as Avantha Holdings plans to sell 7% stake,neutral,negative,13
"Airtel, Idea, RCom plunge upto 6.6% as Reliance Jio raises 2G auction bar",positive,negative,13
"Pharma, cement will continue to perform: IIFL Wealth",neutral,positive,8
Rupiah rises from 16-year low; won buoyed by firmer yen,neutral,positive,10
"ONGC, Oil India slip as Oil Ministry proposes higher gas price on extra output only",positive,negative,15
Recommend short term trading in PSU banks: G Chokkalingam,negative,positive,9
"FIIs withdraw Rs 2,000 crore from Indian equities in a fortnight",negative,neutral,11
Cipla pares gains after rallying nearly 6% post Q3 results,positive,negative,10
10 year bond yield drops to 15 month low ahead of inflation data,positive,negative,13
MTNL's Q2 loss narrows to Rs 947 crore,positive,negative,8
Argentina makes $1 billion bond payment,positive,neutral,6
Thomas Cook buys 61.44 lakh shares of Sterling Holiday,positive,neutral,9
MIT buys Shriram City Union Finance shares worth Rs 59 crore,positive,neutral,11
"Actis, FTIL and IFCI plan to sell NSE shares",positive,negative,9
Lenders including Bank of India ask Sakthi Sugars to sell assets or equity to repay debt,negative,neutral,16
"IOC up nearly 6% as EGoM okays share sale to ONGC, OIL",neutral,positive,12
Action ordered against Jindal Power for ignoring norms,negative,neutral,8
Aditya Birla Private Equity to pick up 8% stake in Indian Energy Exchange Ltd for Rs 136 Crore,neutral,positive,18
Rouble drops against dollar as oil price slumps again,positive,negative,9
"Just Dial gains over 2% on Credit Suisse upgrade, Tiger Global stake sale",neutral,positive,13
Genesys International shareholders' nod for raising Rs 150 cr,positive,neutral,9
LIC Housing raises Rs 810 cr by issuing preference shares to LIC,positive,neutral,12
"TD Power to bag strong profits in the next 3 years: Girish Pai, Nirmal Bang Institutional Equities",positive,neutral,17
Sensex in uncharted territory; investors should tread cautiously,negative,neutral,8
SEBI slaps Rs 8 lakh penalty on 2 promoters of Blue Blends,neutral,negative,12
Nikkei falls as yen bounces after Swiss jolt; down for a third week,positive,negative,13
"South Korea stocks edge down on profit taking, won hovers at 6-year high",positive,negative,13
"Heritage Food, RSWM top two stocks ideas for next 3 months: G Chokkalingam, Equinomics",positive,neutral,14
Export-oriented cos to outdo domestic cyclicals: Hemindra Hazari,positive,negative,8
Rocket Internet joins rush of e-commerce listings,neutral,positive,7
